standard location,stimuli location,bootstrap row,gm mag,gm stdev,sm mag,sm stdev,train error,test error
180,90,31,0.747362269,22.22948229,0.729679193,22.22946993,0.000349278,0.000309759
180,90,32,0.754704745,47.68807532,0.74528558,48.94078436,0.000591275,0.000633944
180,90,33,0.755899429,48.417929,0.74979789,49.54844387,0.000444232,0.000974581
180,90,34,0.74646699,39.69572745,0.739732664,40.3780043,0.000220508,0.00034368
180,90,35,0.754871635,51.22573746,0.753034108,52.82223127,0.000766789,0.00106392
180,90,36,0.746395161,12.69531222,0.733034946,14.27135666,0.000202052,0.000201169
180,90,37,0.750137097,14.22052089,0.735645161,14.46182392,0.000235154,0.000223482
180,90,38,0.757965815,37.46810594,0.747585493,38.10248718,0.000269465,0.000948395
180,90,39,0.73958871,12.98305919,0.720932796,13.98433087,0.000356254,0.001082008
180,90,40,0.735830645,10.1669671,0.723819891,15.14404035,0.000268953,0.000874434
180,90,41,0.75941474,48.01545765,0.752852882,49.0445438,0.000391811,0.0014067
180,90,42,0.734403226,13.39394716,0.717521516,15.52600029,0.000388204,0.001788065
180,90,43,0.738896738,183.4057196,5,534.4830204,0.0006492,0.000591804
